_year	_age	sex	prob
1960	56	2	.993561
1960	57	2	.992401
1960	58	2	.992944
1960	59	2	.991804
1960	60	2	.990312
1960	61	2	.989804
1960	62	2	.989038
1960	63	2	.987073
1960	64	2	.984652
1960	65	2	.983869
1960	66	2	.982589
1960	67	2	.979689
1960	68	2	.977134
1960	69	2	.973724
1960	70	2	.969336
1960	71	2	.966855
1960	72	2	.962859
1960	73	2	.954289
1960	74	2	.949025
1960	75	2	.944318
1960	76	2	.938445
1960	77	2	.928043
1960	78	2	.917224
1960	79	2	.916752
1960	80	2	.905872
1960	81	2	.887006
1960	82	2	.876048
1960	83	2	.867496
1960	84	2	.850166
1960	85	2	.836221
1960	86	2	.81382
1960	87	2	.785836
1960	88	2	.772546
1960	89	2	.761273
1960	90	2	.724819
1960	91	2	.710379
1960	92	2	.699242
1960	93	2	.672622
1960	94	2	.616556
1960	95	2	.573838
1960	96	2	.575354
1960	97	2	.583445
1960	98	2	.49569
1960	99	2	.55814
1960	100	2	.42069
1960	101	2	.684211
1960	102	2	.7
1960	103	2	.73913
1960	104	2	0
1960	105	2	0
1960	106	2	.142857
1960	107	2	0
1960	108	2	0
1960	109	2	0
1960	110	2	0
1961	0	1	.981867
1961	1	1	.998723
1961	2	1	.999065
1961	3	1	.999162
1961	4	1	.999376
1961	5	1	.999361
1961	6	1	.999424
1961	7	1	.999431
1961	8	1	.999586
1961	9	1	.999676
1961	10	1	.999595
1961	11	1	.999714
1961	12	1	.999661
1961	13	1	.999577
1961	14	1	.999572
1961	15	1	.999385
1961	16	1	.999208
1961	17	1	.999149
1961	18	1	.998851
1961	19	1	.998981
1961	20	1	.998809
1961	21	1	.998959
1961	22	1	.999012
1961	23	1	.999063
1961	24	1	.999038
1961	25	1	.998656
1961	26	1	.998946
1961	27	1	.99891
1961	28	1	.999135
1961	29	1	.998801
1961	30	1	.99882
1961	31	1	.998743
1961	32	1	.998676
1961	33	1	.998425
1961	34	1	.998403
1961	35	1	.998639
1961	36	1	.998424
1961	37	1	.998063
1961	38	1	.99801
1961	39	1	.99831
1961	40	1	.998096
1961	41	1	.997616
1961	42	1	.997868
1961	43	1	.997577
1961	44	1	.997325
1961	45	1	.996941
1961	46	1	.996514
1961	47	1	.996372
1961	48	1	.995928
1961	49	1	.995578
1961	50	1	.99475
1961	51	1	.993807
1961	52	1	.993614
1961	53	1	.993255
1961	54	1	.992002
1961	55	1	.991241
1961	56	1	.990128
1961	57	1	.989321
1961	58	1	.988669
1961	59	1	.986471
1961	60	1	.984965
1961	61	1	.984187
1961	62	1	.98199
1961	63	1	.979762
1961	64	1	.977449
1961	65	1	.976029
1961	66	1	.97264
1961	67	1	.970667
1961	68	1	.966687
1961	69	1	.963984
1961	70	1	.959656
1961	71	1	.956172
1961	72	1	.952203
1961	73	1	.944644
1961	74	1	.94119
1961	75	1	.935424
1961	76	1	.927399
1961	77	1	.921772
